api_or_uri,category,label,kind,reachable,reached_from_entrypoint_class,reached_from_entrypoint_method,path_length,path,dfs_depth
com.google.ar.core.CameraConfig$TargetFps->valueOf,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig$TargetFps,valueOf,0,com.google.ar.core.CameraConfig$TargetFps->valueOf,0
com.google.ar.core.CameraConfig$TargetFps->values,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getTargetFps,2,com.google.ar.core.CameraConfigFilter->getTargetFps -> com.google.ar.core.CameraConfig$TargetFps->forBitFlags -> com.google.ar.core.CameraConfig$TargetFps->values,2
com.google.ar.core.CameraConfig-><init>,Camera,Camera,API,Feasible,com.google.ar.core.Session,getSupportedCameraConfigs,1,com.google.ar.core.Session->getSupportedCameraConfigs -> com.google.ar.core.CameraConfig-><init>,1
com.google.ar.core.CameraConfig->nativeDestroyCameraConfig,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,finalize,1,com.google.ar.core.CameraConfig->finalize -> com.google.ar.core.CameraConfig->nativeDestroyCameraConfig,1
com.google.ar.core.CameraConfig->nativeGetCameraId,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getCameraId,1,com.google.ar.core.CameraConfig->getCameraId -> com.google.ar.core.CameraConfig->nativeGetCameraId,1
com.google.ar.core.CameraConfig->nativeGetDepthSensorUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getDepthSensorUsage,1,com.google.ar.core.CameraConfig->getDepthSensorUsage -> com.google.ar.core.CameraConfig->nativeGetDepthSensorUsage,1
com.google.ar.core.CameraConfig->nativeGetFacingDirection,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getFacingDirection,1,com.google.ar.core.CameraConfig->getFacingDirection -> com.google.ar.core.CameraConfig->nativeGetFacingDirection,1
com.google.ar.core.CameraConfig->nativeGetFpsRange,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getFpsRange,1,com.google.ar.core.CameraConfig->getFpsRange -> com.google.ar.core.CameraConfig->nativeGetFpsRange,1
com.google.ar.core.CameraConfig->nativeGetImageDimensions,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getImageSize,1,com.google.ar.core.CameraConfig->getImageSize -> com.google.ar.core.CameraConfig->nativeGetImageDimensions,1
com.google.ar.core.CameraConfig->nativeGetStereoCameraUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getStereoCameraUsage,1,com.google.ar.core.CameraConfig->getStereoCameraUsage -> com.google.ar.core.CameraConfig->nativeGetStereoCameraUsage,1
com.google.ar.core.CameraConfig->nativeGetTextureDimensions,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getTextureSize,1,com.google.ar.core.CameraConfig->getTextureSize -> com.google.ar.core.CameraConfig->nativeGetTextureDimensions,1
com.google.ar.core.CameraConfig->finalize,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,finalize,0,com.google.ar.core.CameraConfig->finalize,0
com.google.ar.core.CameraConfig->getCameraId,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getCameraId,0,com.google.ar.core.CameraConfig->getCameraId,0
com.google.ar.core.CameraConfig->getDepthSensorUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getDepthSensorUsage,0,com.google.ar.core.CameraConfig->getDepthSensorUsage,0
com.google.ar.core.CameraConfig->getFacingDirection,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getFacingDirection,0,com.google.ar.core.CameraConfig->getFacingDirection,0
com.google.ar.core.CameraConfig->getFpsRange,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getFpsRange,0,com.google.ar.core.CameraConfig->getFpsRange,0
com.google.ar.core.CameraConfig->getImageSize,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getImageSize,0,com.google.ar.core.CameraConfig->getImageSize,0
com.google.ar.core.CameraConfig->getStereoCameraUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getStereoCameraUsage,0,com.google.ar.core.CameraConfig->getStereoCameraUsage,0
com.google.ar.core.CameraConfig->getTextureSize,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfig,getTextureSize,0,com.google.ar.core.CameraConfig->getTextureSize,0
com.google.ar.core.CameraConfigFilter-><clinit>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,<clinit>,0,com.google.ar.core.CameraConfigFilter-><clinit>,0
com.google.ar.core.CameraConfigFilter-><init>,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,<init>,0,com.google.ar.core.CameraConfigFilter-><init>,0
com.google.ar.core.CameraConfigFilter->nativeCreateCameraConfigFilter,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,<init>,1,com.google.ar.core.CameraConfigFilter-><init> -> com.google.ar.core.CameraConfigFilter->nativeCreateCameraConfigFilter,1
com.google.ar.core.CameraConfigFilter->nativeDestroyCameraConfigFilter,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,finalize,1,com.google.ar.core.CameraConfigFilter->finalize -> com.google.ar.core.CameraConfigFilter->nativeDestroyCameraConfigFilter,1
com.google.ar.core.CameraConfigFilter->nativeGetDepthSensorUsage,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getDepthSensorUsage,1,com.google.ar.core.CameraConfigFilter->getDepthSensorUsage -> com.google.ar.core.CameraConfigFilter->nativeGetDepthSensorUsage,1
com.google.ar.core.CameraConfigFilter->nativeGetFacingDirection,Camera,Camera,API,Feasible,com.google.ar.core.CameraConfigFilter,getFacingDirection,1,com.google.ar.core.CameraConfigFilter->getFacingDirection -> com.google.ar.core.CameraConfigFilter->nativeGetFacingDirection,1
